repeat,q,dimension,beta,beta_over_d,width,params,test_mse
0,1,0.6309297535714574,0.5,0.7924812503605781,16,433,0.1331355972290039
0,1,0.6309297535714574,0.5,0.7924812503605781,32,1377,0.1248297856648763
0,1,0.6309297535714574,0.5,0.7924812503605781,64,4801,0.1178489481608073
0,1,0.6309297535714574,0.5,0.7924812503605781,128,17793,0.06288927459716796
0,1,0.6309297535714574,0.5,0.7924812503605781,256,68353,0.0550288823445638
0,1,0.6309297535714574,1.0,1.5849625007211563,16,433,0.0034830156167348224
0,1,0.6309297535714574,1.0,1.5849625007211563,32,1377,0.0025647157033284506
0,1,0.6309297535714574,1.0,1.5849625007211563,64,4801,0.0020532991886138916
0,1,0.6309297535714574,1.0,1.5849625007211563,128,17793,0.001397298812866211
0,1,0.6309297535714574,1.0,1.5849625007211563,256,68353,0.0022640053431193033
0,2,1.2618595071429148,0.5,0.3962406251802891,16,433,0.23415314737955728
0,2,1.2618595071429148,0.5,0.3962406251802891,32,1377,0.10967093149820964
0,2,1.2618595071429148,0.5,0.3962406251802891,64,4801,0.11206424967447917
0,2,1.2618595071429148,0.5,0.3962406251802891,128,17793,0.08089264424641927
0,2,1.2618595071429148,0.5,0.3962406251802891,256,68353,0.061941202799479164
0,2,1.2618595071429148,1.0,0.7924812503605781,16,433,0.024218322118123373
0,2,1.2618595071429148,1.0,0.7924812503605781,32,1377,0.010247573852539063
0,2,1.2618595071429148,1.0,0.7924812503605781,64,4801,0.007046490510304769
0,2,1.2618595071429148,1.0,0.7924812503605781,128,17793,0.005313976287841797
0,2,1.2618595071429148,1.0,0.7924812503605781,256,68353,0.0028714746634165445
0,4,2.5237190142858297,0.5,0.19812031259014454,16,433,0.29620611572265626
0,4,2.5237190142858297,0.5,0.19812031259014454,32,1377,0.18565054829915364
0,4,2.5237190142858297,0.5,0.19812031259014454,64,4801,0.17424247233072918
0,4,2.5237190142858297,0.5,0.19812031259014454,128,17793,0.14458439127604167
0,4,2.5237190142858297,0.5,0.19812031259014454,256,68353,0.13053234100341796
0,4,2.5237190142858297,1.0,0.3962406251802891,16,433,0.12041157023111979
0,4,2.5237190142858297,1.0,0.3962406251802891,32,1377,0.06804338836669922
0,4,2.5237190142858297,1.0,0.3962406251802891,64,4801,0.045161501566569014
0,4,2.5237190142858297,1.0,0.3962406251802891,128,17793,0.03322896830240885
0,4,2.5237190142858297,1.0,0.3962406251802891,256,68353,0.021640156428019204
0,6,3.7855785214287447,0.5,0.13208020839342968,16,433,0.41644523111979165
0,6,3.7855785214287447,0.5,0.13208020839342968,32,1377,0.3510019734700521
0,6,3.7855785214287447,0.5,0.13208020839342968,64,4801,0.29267394002278646
0,6,3.7855785214287447,0.5,0.13208020839342968,128,17793,0.26413939921061197
0,6,3.7855785214287447,0.5,0.13208020839342968,256,68353,0.22526600138346353
0,6,3.7855785214287447,1.0,0.26416041678685936,16,433,0.21495782979329428
0,6,3.7855785214287447,1.0,0.26416041678685936,32,1377,0.13192801411946614
0,6,3.7855785214287447,1.0,0.26416041678685936,64,4801,0.11378771718343099
0,6,3.7855785214287447,1.0,0.26416041678685936,128,17793,0.08950490570068359
0,6,3.7855785214287447,1.0,0.26416041678685936,256,68353,0.07455726114908855
0,8,5.047438028571659,0.5,0.09906015629507227,16,433,0.5456715087890625
0,8,5.047438028571659,0.5,0.09906015629507227,32,1377,0.46605211385091144
0,8,5.047438028571659,0.5,0.09906015629507227,64,4801,0.41012466430664063
0,8,5.047438028571659,0.5,0.09906015629507227,128,17793,0.36408802286783853
0,8,5.047438028571659,0.5,0.09906015629507227,256,68353,0.342680430094401
0,8,5.047438028571659,1.0,0.19812031259014454,16,433,0.361489013671875
0,8,5.047438028571659,1.0,0.19812031259014454,32,1377,0.27536410522460936
0,8,5.047438028571659,1.0,0.19812031259014454,64,4801,0.192813227335612
0,8,5.047438028571659,1.0,0.19812031259014454,128,17793,0.16781405639648436
0,8,5.047438028571659,1.0,0.19812031259014454,256,68353,0.13019384002685547
