q,dimension,beta,beta_over_d,observed_alpha,predicted_alpha,abs_error,relative_error,c_fit_without_point
1,0.6309297535714574,0.5,0.7924812503605781,0.09219542045600355,0.5483087681382607,0.45611334768225714,4.947245160619646,0.6918886319250843
2,1.2618595071429148,0.5,0.3962406251802891,3.182445254522072,0.12787559399263104,3.054569660529441,0.9598184465825682,0.32272206802229775
4,2.5237190142858297,0.5,0.19812031259014454,1.1126905921254584,0.11102332683179514,1.0016672652936633,0.9002208452039496,0.560383361909343
6,3.7855785214287447,0.5,0.13208020839342968,0.6341878746518009,0.07789244944494535,0.5562954252068556,0.8771776431586429,0.5897359672005189
8,5.047438028571659,0.5,0.09906015629507227,0.33748355522805207,0.059488117150234485,0.27799543807781757,0.8237303233633537,0.6005251695044389
1,0.6309297535714574,1.0,1.5849625007211563,0.00010231270777806507,2.346416723392339,2.346314410684561,22932.776012283295,1.480424125065875
2,1.2618595071429148,1.0,0.7924812503605781,0.20812227282622123,0.5282505323421521,0.32012825951593094,1.5381739549963156,0.6665779563892504
4,2.5237190142858297,1.0,0.3962406251802891,1.1229332976689126,0.20672954820344067,0.9162037494654719,0.8159022012860525,0.5217272916157422
6,3.7855785214287447,1.0,0.26416041678685936,0.7868144233804545,0.1499050665647731,0.6369093568156814,0.8094784969488437,0.5674774002409513
8,5.047438028571659,1.0,0.19812031259014454,0.4784576820548349,0.11692469275646368,0.36153298929837124,0.7556216628097463,0.590170140698032
