q,dimension,beta,beta_over_d,E,A,alpha,r2,alpha_raw,r2_raw
1,0.6309297535714574,0.5,0.7924812503605781,0.023953459126072062,0.019168412753932124,0.09219542045600355,0.040552873067496775,0.021117817941961523,0.03367842439841585
2,1.2618595071429148,0.5,0.3962406251802891,0.0551792358970642,9245708.121510945,3.182445254522072,0.5105552971734204,0.037525602596459644,0.22931474962124543
4,2.5237190142858297,0.5,0.19812031259014454,0.12714849186338623,222.9576629132808,1.1126905921254584,0.9999337337275104,0.22841608484857656,0.8286744316820827
6,3.7855785214287447,0.5,0.13208020839342968,0.18650936726763803,29.732340623868016,0.6341878746518009,0.9952760936636664,0.2854651520681386,0.9301290075510378
8,5.047438028571659,0.5,0.09906015629507227,0.13111238238110984,7.680928696943192,0.33748355522805207,0.9958598923364207,0.25900873474984937,0.9875746624238996
1,0.6309297535714574,1.0,1.5849625007211563,0.001441498629557184,0.0003413154579267557,0.00010231270777806507,-0.00015988334193495213,-0.06407553685022101,0.25423295359362424
2,1.2618595071429148,1.0,0.7924812503605781,6.85035057969435e-06,0.019923690261072904,0.20812227282622123,0.8818629866097122,0.21896956731536046,0.8961631855085683
4,2.5237190142858297,1.0,0.3962406251802891,0.021659825603483094,43.57751912679385,1.1229332976689126,0.9965118463987349,0.23715584089141895,0.8402914170647064
6,3.7855785214287447,1.0,0.26416041678685936,0.0615235332668114,35.04834528683284,0.7868144233804545,0.9999641485838956,0.3610982399393006,0.9449427783119791
8,5.047438028571659,1.0,0.19812031259014454,0.055390995687041415,11.383421329907613,0.4784576820548349,0.9974382834730591,0.3685988580022363,0.9836245530946841
