experiment,law,c,mse
N,c*beta/d,0.5717355901413541,0.1599303244744686
N,c*beta/(2beta+d),2.072429257010354,0.07659624173170253
D,c*beta/d,0.6069930223665698,1.2474205710599726
D,c*beta/(2beta+d),2.894911162413481,0.9701194394741119
