q,dimension,beta,beta_over_d,E,A,alpha,r2,alpha_raw,r2_raw
1,0.6309297535714574,0.5,0.7924812503605781,4.724223100899154e-16,0.3950562753589728,0.16715948899051636,0.8390101255585023,0.19475993087794216,0.8726874149224491
2,1.2618595071429148,0.5,0.3962406251802891,0.06187926159667966,16.479349092375173,0.7560878090679424,0.9374948969374366,0.23200539490313804,0.8726462624158703
4,2.5237190142858297,0.5,0.19812031259014454,0.1304018086624055,14.130793068817377,0.7354358263115178,0.9707685239580334,0.14751051474101037,0.873557954838453
6,3.7855785214287447,0.5,0.13208020839342968,0.15510329947436657,1.2047319211325178,0.25188119177042606,0.9966279377708822,0.11900147690053507,0.9882304763724942
8,5.047438028571659,0.5,0.09906015629507227,0.2925348037745667,1.842973273246918,0.3268762465086952,0.9992172887780484,0.09236623053343002,0.9691743344079431
1,0.6309297535714574,1.0,1.5849625007211563,0.0013958996479383173,0.030212061738481587,0.4442158410948777,0.7492228995357471,0.11322713564301995,0.465430746867753
2,1.2618595071429148,1.0,0.7924812503605781,0.002868603188634584,2.3470972707493734,0.7763917602473845,0.9853524103915439,0.3862850869489584,0.9558312273539802
4,2.5237190142858297,1.0,0.3962406251802891,0.018857971050145386,3.453684675224375,0.581948471343535,0.9964512814704567,0.3260470947055459,0.9830266042596603
6,3.7855785214287447,1.0,0.26416041678685936,0.07448270388793944,6.782747427125308,0.6410057357421309,0.9831306091490883,0.19629058396036828,0.9398960618195115
8,5.047438028571659,1.0,0.19812031259014454,0.08827499549302457,2.4642725329663575,0.3614392699607721,0.9936224212040703,0.1994165146162362,0.9782308422463198
