repeat,q,dimension,beta,beta_over_d,D,width,params,train_steps,train_mse,test_mse
0,1,0.6309297535714574,0.5,0.7924812503605781,512,256,68353,3500,0.03837140277028084,0.03620693588256836
0,1,0.6309297535714574,0.5,0.7924812503605781,2000,256,68353,3500,0.03418649673461914,0.034651554107666016
0,1,0.6309297535714574,0.5,0.7924812503605781,8000,256,68353,3500,0.023941793441772462,0.023977436701456706
0,1,0.6309297535714574,0.5,0.7924812503605781,32000,256,68353,3500,0.03711996102333069,0.03712077967325846
0,1,0.6309297535714574,1.0,1.5849625007211563,512,256,68353,3500,0.0016378668369725347,0.0017993586858113606
0,1,0.6309297535714574,1.0,1.5849625007211563,2000,256,68353,3500,0.0013220150470733643,0.0014457698265711466
0,1,0.6309297535714574,1.0,1.5849625007211563,8000,256,68353,3500,0.0015012791752815246,0.0015072058439254761
0,1,0.6309297535714574,1.0,1.5849625007211563,32000,256,68353,3500,0.002406975120306015,0.0023780721028645833
0,2,1.2618595071429148,0.5,0.3962406251802891,512,256,68353,3500,0.04890424758195877,0.07725259399414063
0,2,1.2618595071429148,0.5,0.3962406251802891,2000,256,68353,3500,0.04910981369018555,0.05523447036743164
0,2,1.2618595071429148,0.5,0.3962406251802891,8000,256,68353,3500,0.06311595153808594,0.06425286865234375
0,2,1.2618595071429148,0.5,0.3962406251802891,32000,256,68353,3500,0.0597140998840332,0.06173885981241862
0,2,1.2618595071429148,1.0,0.7924812503605781,512,256,68353,3500,0.0038671749643981457,0.00518765115737915
0,2,1.2618595071429148,1.0,0.7924812503605781,2000,256,68353,3500,0.004509175300598144,0.004791550636291504
0,2,1.2618595071429148,1.0,0.7924812503605781,8000,256,68353,3500,0.0024442012310028076,0.0026003125508626303
0,2,1.2618595071429148,1.0,0.7924812503605781,32000,256,68353,3500,0.0023085716962814333,0.002325712283452352
0,4,2.5237190142858297,0.5,0.19812031259014454,512,256,68353,3500,0.014717521145939827,0.34270849609375
0,4,2.5237190142858297,0.5,0.19812031259014454,2000,256,68353,3500,0.08607874298095704,0.1748570098876953
0,4,2.5237190142858297,0.5,0.19812031259014454,8000,256,68353,3500,0.11593640899658203,0.13615892028808593
0,4,2.5237190142858297,0.5,0.19812031259014454,32000,256,68353,3500,0.12069486045837402,0.13009062703450522
0,4,2.5237190142858297,1.0,0.3962406251802891,512,256,68353,3500,0.003836960531771183,0.061262114206949866
0,4,2.5237190142858297,1.0,0.3962406251802891,2000,256,68353,3500,0.014855646133422851,0.029546122868855794
0,4,2.5237190142858297,1.0,0.3962406251802891,8000,256,68353,3500,0.020387921333312988,0.02515981674194336
0,4,2.5237190142858297,1.0,0.3962406251802891,32000,256,68353,3500,0.020135336875915528,0.021681507110595702
0,6,3.7855785214287447,0.5,0.13208020839342968,512,256,68353,3500,0.0028757364489138126,0.7532550455729167
0,6,3.7855785214287447,0.5,0.13208020839342968,2000,256,68353,3500,0.03199737548828125,0.43852268473307293
0,6,3.7855785214287447,0.5,0.13208020839342968,8000,256,68353,3500,0.16927371215820314,0.263834971110026
0,6,3.7855785214287447,0.5,0.13208020839342968,32000,256,68353,3500,0.21499107933044434,0.23992443339029948
0,6,3.7855785214287447,1.0,0.26416041678685936,512,256,68353,3500,0.006355379708111286,0.3202645568847656
0,6,3.7855785214287447,1.0,0.26416041678685936,2000,256,68353,3500,0.01810795211791992,0.15055127461751303
0,6,3.7855785214287447,1.0,0.26416041678685936,8000,256,68353,3500,0.059102169036865236,0.09035412089029948
0,6,3.7855785214287447,1.0,0.26416041678685936,32000,256,68353,3500,0.0683312120437622,0.07207809448242188
0,8,5.047438028571659,0.5,0.09906015629507227,512,256,68353,3500,4.842613998334855e-05,1.0620719401041667
0,8,5.047438028571659,0.5,0.09906015629507227,2000,256,68353,3500,0.008400066375732422,0.7407940063476562
0,8,5.047438028571659,0.5,0.09906015629507227,8000,256,68353,3500,0.2032450408935547,0.47533308919270834
0,8,5.047438028571659,0.5,0.09906015629507227,32000,256,68353,3500,0.3083597450256348,0.3742575480143229
0,8,5.047438028571659,1.0,0.19812031259014454,512,256,68353,3500,5.624543746307609e-07,0.6288313395182291
0,8,5.047438028571659,1.0,0.19812031259014454,2000,256,68353,3500,0.0045905084609985354,0.3647710469563802
0,8,5.047438028571659,1.0,0.19812031259014454,8000,256,68353,3500,0.06769126892089844,0.1950054931640625
0,8,5.047438028571659,1.0,0.19812031259014454,32000,256,68353,3500,0.11520687198638915,0.14225227355957032
